Activities,Use of sun/uv protection,4
Cardiovascular,Coronary artery disease (SOFT definition including angina),2
Cell,PROC - Vitamin K-dependent protein C,1
Dermatological,Ease of skin tanning,4
Dermatological,"Hair colour (natural, before greying): Dark brown",4
Dermatological,"Hair colour (natural, before greying): Red",4
Dermatological,Skin colour,4
Metabolic,Impedance measures - Arm fat percentage (left),4
Metabolic,Impedance measures - Arm fat percentage (right),4
Metabolic,Impedance measures - Arm fat-free mass (right),4
Metabolic,Impedance measures - Arm predicted mass (right),4
Metabolic,Impedance measures - Basal metabolic rate,4
Metabolic,Impedance measures - Body fat percentage,4
Metabolic,Impedance measures - Leg fat percentage (left),4
Metabolic,Impedance measures - Leg fat percentage (right),4
Metabolic,Impedance measures - Leg fat-free mass (left),4
Metabolic,Impedance measures - Leg fat-free mass (right),4
Metabolic,Impedance measures - Leg predicted mass (left),4
Metabolic,Impedance measures - Leg predicted mass (right),4
Metabolic,Impedance measures - Trunk fat percentage,4
Metabolic,Impedance measures - Trunk fat-free mass,4
Metabolic,Impedance measures - Trunk predicted mass,4
Metabolic,Impedance measures - Whole body fat-free mass,4
Metabolic,Impedance measures - Whole body water mass,4
Metabolic,Prothrombin time,4
Skeletal,Height,2
Skeletal,Sitting height,4
Skeletal,Standing height,4
