Cardiovascular,Resting heart rate,1
Immunological,Basophil count (three-way meta),9
Immunological,Granulocyte count (three-way meta),9
Immunological,Granulocyte count (two-way meta),8
Immunological,Interleukin-12p70,6
Immunological,Mean platelet volume (three-way meta),9
Immunological,Mean platelet volume (two-way meta),9
Immunological,Myeloid white cell count (three-way meta),9
Immunological,Myeloid white cell count (two-way meta),8
Immunological,Neutrophil count (three-way meta),8
Immunological,Platelet count,9
Immunological,Platelet count (three-way meta),9
Immunological,Platelet count (two-way meta),9
Immunological,Platelet distribution width (three-way meta),9
Immunological,Platelet distribution width (two-way meta),9
Immunological,Plateletcrit (three-way meta),9
Immunological,Plateletcrit (two-way meta),9
Immunological,Platelets,9
Immunological,Red blood cell count (two-way meta),8
Immunological,Sum basophil neutrophil count (three-way meta),8
Immunological,Sum basophil neutrophil count (two-way meta),2
Immunological,Sum neutrophil eosinophil count (three-way meta),8
Immunological,Sum neutrophil eosinophil count (two-way meta),6
Immunological,White blood cell count (three-way meta),9
Immunological,White blood cell count (two-way meta),7
Psychiatric,Alcohol intake frequency,1
