Activities,Age started wearing glasses or contact lenses,1
Activities,Automobile speeding propensity,1
Activities,Childhood sunburn occasions,1
Activities,First PC of the four riskly behaviours,1
Activities,Frequency of other exercises in last 4 weeks,1
Activities,General risk tolerance,3
Activities,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",1
Activities,Number of days/week of vigorous physical activity 10+ minutes,1
Activities,Number of treatments/medications taken,1
Activities,Taking other prescription medications,2
Activities,Time spent watching television (TV),3
Activities,Treatment/medication code: levothyroxine sodium,1
Activities,Use of sun/uv protection,2
Activities,Usual walking pace,1
Body Structures,Mouth/teeth dental problems: Mouth ulcers,1
Cardiovascular,Atrial Fibrillation,1
Cardiovascular,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,1
Cardiovascular,Diastolic Blood Pressure (automated reading),3
Cardiovascular,"Non-cancer illness code, self-reported: hypertension",2
Cardiovascular,QRS interval,1
Cardiovascular,Resting heart rate,1
Cardiovascular,Systolic Blood Pressure (automated reading),1
Cardiovascular,Vascular/heart problems diagnosed by doctor: High blood pressure,2
Cell,CD84 - SLAM family member 5,1
Cell,Rubella IgG levels,1
Cognitive,Cognitive performance,3
Cognitive,Fluid intelligence score,1
Cognitive,Intelligence,2
Cognitive,Verbal-numerical reasoning,1
Connective Tissue,Rheumatoid Arthritis,6
Dermatological,Ease of skin tanning,2
Dermatological,"Hair colour (natural, before greying): Black",2
Dermatological,"Hair colour (natural, before greying): Blonde",1
Dermatological,"Hair colour (natural, before greying): Dark brown",3
Dermatological,"Hair colour (natural, before greying): Light brown",2
Dermatological,Male pattern baldness (BOLT LMM infinitesimal mixed model),5
Dermatological,Male pattern baldness (BOLT LMM non-infinitesimal mixed model),5
Dermatological,Male-specific factors - Hair/balding pattern: Pattern 1,1
Dermatological,Male-specific factors - Hair/balding pattern: Pattern 2,1
Dermatological,Male-specific factors - Hair/balding pattern: Pattern 3,1
Dermatological,Male-specific factors - Hair/balding pattern: Pattern 4,1
Dermatological,Skin colour,2
Dermatological,Vitiligo,4
Endocrine,Diabetes (diagnosed by doctor),2
Endocrine,Diagnoses - secondary ICD10: E03 Other hypothyroidism,1
Endocrine,Diagnoses - secondary ICD10: E11 Type 2 diabetes mellitus,2
Endocrine,Free thyroxine (FT4),1
Endocrine,"Non-cancer illness code, self-reported: diabetes",2
Endocrine,"Non-cancer illness code, self-reported: hypothyroidism/myxoedema",1
Endocrine,Thyroid-stimulating hormone,1
Endocrine,Thyroid-stimulating hormone (female),1
Endocrine,Thyroid-stimulating hormone (male),1
Endocrine,Type 1 Diabetes,1
Endocrine,Type 2 Diabetes,25
Endocrine,Type 2 Diabetes (adjusted for BMI),1
Environment,Education - Qualifications,1
Environment,Educational attainment,3
Environment,Illnesses of siblings: High blood pressure,1
Environmental,Agents acting on the renin-angiotensin system,9
Environmental,Antihistamines for systemic use,1
Environmental,Beta blocking agents,1
Environmental,Calcium channel blockers,5
Environmental,Diuretics,9
Environmental,Drugs used in diabetes,1
Environmental,HMG CoA reductase inhibitors,2
Environmental,Thyroid preparations,9
Gastrointestinal,Ulcerative colitis,1
Hematological,Hemoglobin A1c,1
Immunological,Basophil count (three-way meta),5
Immunological,Basophil count (two-way meta),5
Immunological,Eosinophil count (three-way meta),1
Immunological,Eosinophil count (two-way meta),1
