Activities,"Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication",4
Activities,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",4
Activities,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication",4
Activities,Treatment/medication code: atorvastatin,4
Activities,Treatment/medication code: metformin,3
Activities,Treatment/medication code: simvastatin,4
Activities,Use of sun/uv protection,3
Activities,Years since last cervical smear test (female),1
Cardiovascular,Coronary artery disease,3
Cardiovascular,Diastolic Blood Pressure (automated reading),5
Cardiovascular,High blood pressure,5
Cardiovascular,"Non-cancer illness code, self-reported: hypertension",4
Cardiovascular,Vascular/heart problems diagnosed by doctor: High blood pressure,4
Dermatological,Ease of skin tanning,3
Dermatological,"Hair colour (natural, before greying): Dark brown",3
Dermatological,"Hair colour (natural, before greying): Red",3
Dermatological,Skin colour,3
Endocrine,Thyroid-stimulating hormone,4
Endocrine,Thyroid-stimulating hormone (female),4
Endocrine,Thyroid-stimulating hormone (male),4
Endocrine,Type 2 Diabetes,8
Endocrine,Type 2 Diabetes (adjusted for BMI),4
Environment,Educational attainment,1
Environment,Illnesses of father: Heart disease,4
Environment,Illnesses of mother: Diabetes,4
Environmental,Antithrombotic agents,5
Environmental,HMG CoA reductase inhibitors,4
Environmental,Salicylic acid and derivatives,4
Gastrointestinal,Diagnoses - main ICD10: K57 Diverticular disease of intestine,4
Gastrointestinal,Diagnoses - secondary ICD10: K57 Diverticular disease of intestine,4
Gastrointestinal,Diverticular disease,8
Hematological,Hemoglobin,1
Immunological,Basophil count (three-way meta),4
Immunological,Granulocyte count (three-way meta),4
Immunological,Granulocyte count (two-way meta),4
Immunological,Granulocyte percentage of myeloid white cells (three-way meta),4
Immunological,Granulocyte percentage of myeloid white cells (two-way meta),4
Immunological,Hematocrit,4
Immunological,Hematocrit (three-way meta),4
Immunological,Hematocrit (two-way meta),4
Immunological,Hemoglobin concentration (three-way meta),4
Immunological,Hemoglobin concentration (two-way meta),4
Immunological,Mean corpuscular volume,4
Immunological,Monocyte count,4
Immunological,Monocyte count (three-way meta),4
Immunological,Monocyte count (two-way meta),4
Immunological,Monocyte percentage of white cells (three-way meta),4
Immunological,Monocyte percentage of white cells (two-way meta),4
Immunological,Myeloid white cell count (three-way meta),4
Immunological,Myeloid white cell count (two-way meta),4
