Activities,"Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication",1
Activities,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",1
Activities,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication",1
Activities,Treatment/medication code: simvastatin,1
Activities,Use of sun/uv protection,2
Activities,Years since last cervical smear test (female),1
Cardiovascular,Coronary artery disease,1
Cardiovascular,Coronary artery disease (SOFT definition including angina),1
Cardiovascular,Diastolic Blood Pressure (automated reading),1
Cardiovascular,High blood pressure,1
Cardiovascular,"Non-cancer illness code, self-reported: hypertension",1
Cardiovascular,Pulse rate (automated reading),1
Cardiovascular,Vascular/heart problems diagnosed by doctor: High blood pressure,1
Cell,CAMK1 - Calcium/calmodulin-dependent protein kinase type 1,1
Cell,F5 - Coagulation Factor V,1
Cell,TFPI - Tissue factor pathway inhibitor,1
Dermatological,Ease of skin tanning,2
Dermatological,"Hair colour (natural, before greying): Red",2
Dermatological,Skin colour,2
Endocrine,Thyroid-stimulating hormone,1
Endocrine,Thyroid-stimulating hormone (female),1
Endocrine,Thyroid-stimulating hormone (male),1
Endocrine,Type 2 Diabetes,2
Endocrine,Type 2 Diabetes (adjusted for BMI),1
Environment,Illnesses of father: Heart disease,1
Environment,Illnesses of mother: Diabetes,1
Environmental,Antithrombotic agents,1
Environmental,HMG CoA reductase inhibitors,1
Environmental,Salicylic acid and derivatives,1
Gastrointestinal,Diagnoses - main ICD10: K57 Diverticular disease of intestine,1
Gastrointestinal,Diagnoses - secondary ICD10: K57 Diverticular disease of intestine,1
Gastrointestinal,Diverticular disease,2
Immunological,Basophil count (three-way meta),1
Immunological,Cutaneous T-cell attracting (CCL27),1
Immunological,Granulocyte count (three-way meta),1
Immunological,Granulocyte count (two-way meta),1
Immunological,Granulocyte percentage of myeloid white cells (three-way meta),1
Immunological,Granulocyte percentage of myeloid white cells (two-way meta),1
Immunological,Hematocrit,1
Immunological,Hematocrit (three-way meta),1
Immunological,Hematocrit (two-way meta),1
Immunological,Hemoglobin concentration (three-way meta),1
Immunological,Hemoglobin concentration (two-way meta),1
Immunological,Mean corpuscular volume,1
Immunological,Monocyte count,1
Immunological,Monocyte count (three-way meta),1
Immunological,Monocyte count (two-way meta),1
Immunological,Monocyte percentage of white cells (three-way meta),1
Immunological,Monocyte percentage of white cells (two-way meta),1
Immunological,Myeloid white cell count (three-way meta),1
Immunological,Myeloid white cell count (two-way meta),1
Immunological,Neutrophil count (three-way meta),1
Immunological,Red blood cell count (three-way meta),1
Immunological,Red blood cell count (two-way meta),1
Immunological,Stem cell factor,1
Immunological,Stem cell growth factor beta,1
Immunological,Sum basophil neutrophil count (three-way meta),1
Immunological,Sum basophil neutrophil count (two-way meta),1
Immunological,Sum neutrophil eosinophil count (three-way meta),1
Immunological,Sum neutrophil eosinophil count (two-way meta),1
Immunological,White blood cell count,1
Immunological,White blood cell count (three-way meta),1
Immunological,White blood cell count (two-way meta),1
Metabolic,::::X-11491,1
Metabolic,Activated partial thromboplastin time,1
Metabolic,Alanine aminotransferase,1
